refid,unittitle,unitdate,container_type,container_label,extent,extent_desc,note_title,note_text,persname_1,persname_2,persname_3,persname_4
ref1413,Final Seminar Project: postmodernthought.com re-launch,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/406/gutstadt.jared.2002.thesis.DOC.PDF,Jared Gutstadt,,,
ref1414,Theater of Information: augmented reality in live dramatic theater,2004,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/407/guttman.edward.2004.thesis.DOC.PDF,Edward Guttman,,,
ref1415,Interactive Tutorial on Signals and Waves,1986,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/408/gygi.kathleen.1986.thesis.doc.pdf,Kathleen Gygi,,,
ref1416,Evolution of Medical Database Research,1995,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/409/haggar.tonia.1995.thesis.doc.PDF,Tonia Haggar,,,
ref1417,Environmental Organizations Contextual Search Engine,1998,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/410/osborne.dariane.1998.thesis.doc.PDF,Dariane Osborne,,,
ref1418,Shopmart.com,1996,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/411/miller.david.1996.thesis.doc.PDF,David Miller,,,
ref1419,CyberSuccess,1997,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/412/swensen.cindy.1997.thesis.doc.PDF,Cindy Swensen,,,
ref1420,Play Megaphone 3001,2007,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/413/hahn.jury.2007.thesis.doc.PDF,Jury Hahn,,,
ref1421,"Environmentalism, Consumerism, E-Commerce, and a Proposal for a ""Shadow Shopping Cart""(TM)",2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/414/haight.karen.2000.thesis.DOC.PDF,Karen Haight,,,
ref1422,Handimap,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/415/haims.katherine.2003.thesis.DOC.PDF,Katherine Haims,,,
ref1423,Me Through You: a mediated self-portrait,2006,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/416/hall.brijetta.2006.thesis.DOC.PDF,Brijetta Hall,,,
ref1424,Jean Rouch: The Cinema of Shared Anthropology,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/417/berry.sarah.2000.thesis.doc.pdf,Sarah Berry,,,
ref1425,6Octive Matrix: An Environmentally Interactive Sculpture,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/418/whittaker.christine.2005.thesis.1.PDF,Christine Whittaker,,,
ref1426,6Octive Matrix: An Environmentally Interactive Sculpture,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/419/whittaker.christine.2005.thesis.2.PDF,Christine Whittaker,,,
ref1427,A Report on the Production of Bedfast: an interactive docudrama,1993,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/420/velick.deborah.1993.thesis.doc.PDF,Deborah A Velick,,,
ref1428,"Superheroes, Inc. :An Experiment into Dynamic Interactive Narratives",1997,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/421/sampson.darron.1997.thesis.doc.PDF,Darron Sampson,,,
ref1429,Data-Mail,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/422/chung.chia-fen.2000.thesis.doc.pdf,Chia-fen Chung,,,
ref1430,Untitled,1996,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/423/borbely.luciana.1996.thesis.doc.PDF,Luciana Borbely,,,
ref1431,Are We Killing The Goose that Laid the Golden Eggs? A Study of the Digital Music World,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/424/carmichael.jean-paul.2000.thesis.doc.pdf,Jean-Paul Carmichael,,,
ref1432,Valbum,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/425/cha.siyeon.2000.thesis.doc.pdf,Siyeon Cha,,,
ref1433,I-Guide,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/426/chia.yung-hee.2000.thesis.doc.pdf,Yung-Hee Chia,,,
ref1434,New York Telephone After The Modified Final Judgement,1988,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/427/dipietro.donnamarie.1988.thesis.doc.PDF,Donna Marie Di Pietro,,,
ref1435,"To Fast For Tracks, An Exploration of Interactive Toy Design",2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/428/hall.chris.2005.thesis.PDF,Chris Hall,,,
ref1436,View,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/429/haller.ken.2003.thesis.PDF,Ken Haller,,,
ref1437,nursemini.com,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/430/ham.mini.2002.thesis.PDF,Mini Ham,,,
ref1438,Cultural Implicaitons of Privatized Media in a Unified Western Europe,1990,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/431/hanna.mona.1990.thesis.doc.PDF,Mona Hanna,,,
ref1439,An Analysis of Trading Workstation Interfaces,1988,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/432/hannigan.beth.1988.thesis.doc.PDF,Beth Hannigan,,,
ref1440,well (distant recollections),2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/433/hara.kiyoshi.2000.thesis.doc.PDF,Kiyoshi Hara,,,
ref1441,Devora and her caretakers,2001,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/434/fitzgerald2.adrienne.2001.thesis.DOC.PDF,Adrienne Fitzgerald,,,
ref1442,Pinto ,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/435/fixler.eric.2003.thesis.doc.PDF,Eric Fixler,,,
ref1443,LOUNGESCENE,2001,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/436/harker.julian.2001.thesis.doc.PDF,Julian Harker,,,
ref1444,"""Apple Bytes"" Documentation",1984,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/437/harkins.david.1984.thesis.doc.PDF,David T. Harkins,,,
ref1445,Station,1998,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/438/harms.luke.1998.thesis.doc.PDF,Luke Harms,,,
ref1446,Project International Tickle,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/439/harrington.tim.2000.thesis.doc.PDF,Tim  Harrington,,,
ref1447,Planning For New Product Development: A Study of Ael Microtel Limited,1982,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/440/harris.lyndajean.1982.thesis.doc.PDF,Lynda Harris,,,
ref1448,Composition for Soft Wall,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/441/harris.wyllona.2002.thesis.DOC.PDF,Wyllona M.  Harris,,,
ref1449,First Person,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/442/harriscronin.sasha.2002.thesis.doc.PDF,Sasha  Harris-Cronin,,,
ref1450,Telephone Company Entry into Proposed Video Dialtone Policy,1992,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/443/harrison.adrianne.1992.thesis.doc.PDF,Adrianne C.  Harrison,,,
ref1451,The Wired West,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/444/harrison.beth.2003.thesis.PDF,Beth Harrison,,,
ref1452,Momentous : Converastion Using Online Video or The Power of Wee Videos,2006,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/445/harvey.deirdre.2006.thesis.PDF,Deirdre Harvey,,,
ref1453,Welcom Friends of Holland and Sparta Mountains,1998,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/446/healey.michael.1998.thesis.doc.PDF,Michael P. Healey,,,
ref1454,Fiber Optics to the Home : The role of The Telephone Companies,1991,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/447/hecht.mark.1991.thesis.doc.PDF,Mark J. Hecht,,,
ref1455,Cross-Platform Multimedia,1992,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/448/heller.justin.1992.thesis.doc.PDF,Justin Heller,,,
ref1456,Bifurcaciones,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/449/hinestrosa.jose.2003.thesis.PDF,Jose Hinestrosa,,,
ref1457,In the Small Pond,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/450/hamazaki.kumi.2002.thesis.doc.PDF,Kumi Hamazaki,,,
ref1458,But Aloud She Said,1989,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/451/hemmingway.jessica.1989.thesis.PDF,Jessie Heminway,,,
ref1460,Trading Room Design and Implementation,1988,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/453/hirschberg.razy.1988.thesis.doc.PDF,Razy Hirschberg,,,
ref1461,Break The Frame: A comment on how technology is affecting humanity,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/454/hitchings.jamie.2005.thesis.PDF,Jamie Hitchings,,,
ref1462,Well (distant recollections),2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/455/hara.kiyoshi.2000.thesis.PDF,Kiyoshi Hara,,,
ref1463,An Experiment in Customizing and Encapsulating Web Services,2004,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/456/hines.lamar.2004.thesis.PDF,Lamar Hines,,,
ref1464,Right of Way,2006,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/457/ho.angelina.2006.thesis.doc.PDF,Angelina Ho,,,
ref1465,Artifacts: Elements of a Life Found and Reconnected,1989,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/458/horn.stacy.1989.thesis.doc.PDF,Stacy Horn,,,
ref1466,Applications of Electronic Information Systems in the Financial Industry,1983,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/459/herring.william.1983.thesis.PDF,William Herring,,,
ref1467,Be Like a Dog,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/460/holoubek.todd.2002.thesis.PDF,Todd Holoubek,,,
ref1468,The Western Lands,1998,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/461/hulin.todd.1998.thesis.doc.PDF,Todd Hulin,,,
ref1469,The Jungle Mapper,1998,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/462/hunt.stewart.1998.thesis.PDF,Stewart Hunt,,,
ref1470,Readplay Re-roll-ed: Placing the Interactive Medium through an Analysis of Role-Play-Games,1993,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/463/hyatt.richard.1993.thesis.doc.PDF,Richard Hyatt,,,
ref1471,ISDN: Its Evolution and Its Future,1991,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/464/jones.reginald.1991.thesis.doc.PDF,Reginald Jones,,,
ref1472,The Zipwire: An Alternative Approach to Internet Communication,2007,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/465/kairalla.christopher.2007.thesis.doc.PDF,Christopher Kairalla,,,
ref1473,The Terms of War,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/466/juan.jovi.2000.thesis.PDF,Jovi Juan,,,
ref1474,Wall_Fold; The Space between 0 and 1,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/467/ron.ruth.2003.thesis.doc.PDF,Ruth Ron,,,
ref1475,LettrWritr,2007,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/468/roman.christin.2007.thesis.doc.PDF,Christin Roman,,,
ref1476,HandyMan Good Measures!,1996,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/469/rozin.daniel.1996.thesis.doc.PDF,Daniel Rozin,,,
ref1477,The Globalization Trend of Telecommunication Providers,1993,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/470/rubin.orli.1993.thesis.doc.PDF,Orli Rubin,,,
ref1478,nothing Sacred: a storytelling experiment,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/471/rubinoff.leba.2003.thesis.doc.PDF,Leba Rubinoff,,,
ref1479,Current Trends in Newspaper Electronic Publishing,1994,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/472/rudowski.evan.1994.thesis.doc.PDF,Evan Rudowski,,,
ref1480,Trace: A Memorial Environmental Sound Installation,1997,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/473/rueb.teri.1997.thesis.doc.PDF,Teri Rueb,,,
ref1481,"The Use of Computer Simulation in the Design, Analysis, and Management of Telecommunication Networks",1987,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/474/ruiz.jeffrey.1987.thesis.doc.PDF,Jeffrey Ruiz,,,
ref1482,Interactive Conferencing Systems for Distance Education,1987,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/475/rupinski.tommy.1987.thesis.doc.PDF,Tommy Rupinski,,,
ref1483,Colloquial English Project: Multimedia English Educational Content Development Personal Area Network,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/476/hernandez.marie.2002.thesis.doc.PDF,Marie Hernandez,,,
ref1484,Sound Asleep,2003,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/477/wilson.kathy.2003.thesis.doc.PDF,Chris Ault,,,
ref1485,Fractals,1990,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/478/willie.mark.1990.thesis.doc.PDF,Mark Willie,,,
ref1486,Interactive Map of New York City,2000,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/479/whitton.doug.2000.thesis.doc.PDF,Doug Whitton,,,
